,high_temp,low_temp,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,pct_change_aqi,average_daily_temp,month,weekday
2017-03-16,38,26,0.3,3.0,40.0,38.0,0.04,37.0,,,4.0,17.0,1.0,1.0,38.0,-0.050000000000000044,32.0,3,3
2017-03-17,43,23,0.7,8.0,49.0,46.0,0.033,31.0,,,16.5,60.0,8.0,11.0,60.0,0.5789473684210527,33.0,3,4
2017-03-18,41,35,0.4,5.0,19.0,18.0,0.028,26.0,,,12.3,51.0,1.0,1.0,51.0,-0.15000000000000002,38.0,3,5
2017-03-19,39,35,0.3,3.0,35.0,33.0,0.038,35.0,,,20.7,69.0,1.0,1.0,69.0,0.3529411764705883,37.0,3,6
2017-03-20,49,34,0.5,6.0,36.0,34.0,0.021,19.0,,,19.1,66.0,4.0,6.0,66.0,-0.04347826086956519,41.5,3,0
2017-03-21,57,33,0.5,6.0,37.0,35.0,0.038,35.0,,,16.8,61.0,0.0,0.0,61.0,-0.0757575757575758,45.0,3,1
2017-03-22,33,23,0.3,3.0,20.0,19.0,,,,,1.2,5.0,0.0,0.0,19.0,-0.6885245901639344,28.0,3,2
2017-03-23,51,18,0.6,7.0,45.0,42.0,0.036,33.0,,,10.0,42.0,3.0,4.0,42.0,1.210526315789474,34.5,3,3
2017-03-24,74,42,0.5,6.0,20.0,19.0,0.05,46.0,,,13.5,54.0,2.0,3.0,54.0,0.2857142857142858,58.0,3,4
2017-03-25,66,42,0.6,7.0,42.0,40.0,0.022,20.0,,,15.2,58.0,3.0,4.0,58.0,0.07407407407407418,54.0,3,5
2017-03-26,68,42,0.5,6.0,28.0,26.0,0.029,27.0,,,12.4,52.0,3.0,4.0,52.0,-0.10344827586206895,55.0,3,6
2017-03-27,64,54,0.3,3.0,19.0,18.0,0.025,23.0,,,7.7,32.0,0.0,0.0,32.0,-0.3846153846153846,59.0,3,0
2017-03-28,54,39,0.4,5.0,33.0,31.0,0.027,25.0,,,5.8,24.0,0.0,0.0,31.0,-0.03125,46.5,3,1
2017-03-29,53,38,0.3,3.0,32.0,30.0,0.034,31.0,,,5.8,24.0,0.0,0.0,31.0,0.0,45.5,3,2
2017-03-30,53,43,0.3,3.0,19.0,18.0,0.026,24.0,,,5.6,23.0,0.0,0.0,24.0,-0.22580645161290325,48.0,3,3
2017-03-31,60,39,0.4,5.0,30.0,28.0,0.028,26.0,,,7.1,30.0,0.0,0.0,30.0,0.25,49.5,3,4
2017-04-01,49,37,0.3,3.0,28.0,26.0,0.044,41.0,,,6.2,26.0,1.0,1.0,41.0,0.3666666666666667,43.0,4,5
2017-04-02,61,36,0.5,6.0,29.0,27.0,0.041,38.0,,,11.7,49.0,2.0,3.0,49.0,0.19512195121951215,48.5,4,6
2017-04-03,74,50,,,21.0,20.0,0.037,34.0,,,9.4,39.0,6.0,9.0,39.0,-0.20408163265306123,62.0,4,0
2017-04-04,61,49,0.3,3.0,,,0.036,33.0,,,5.3,22.0,0.0,0.0,33.0,-0.15384615384615385,55.0,4,1
2017-04-05,66,43,0.3,3.0,27.0,25.0,0.04,37.0,,,3.7,15.0,0.0,0.0,37.0,0.1212121212121211,54.5,4,2
2017-04-06,59,35,0.3,3.0,21.0,20.0,0.032,30.0,,,4.2,18.0,1.0,1.0,30.0,-0.18918918918918914,47.0,4,3
2017-04-07,46,32,0.3,3.0,33.0,31.0,0.039,36.0,,,0.0,0.0,0.0,0.0,36.0,0.19999999999999996,39.0,4,4
2017-04-08,59,29,0.5,6.0,43.0,41.0,0.037,34.0,,,5.2,22.0,3.0,4.0,41.0,0.13888888888888884,44.0,4,5
2017-04-09,74,42,0.5,6.0,31.0,29.0,0.046,43.0,,,,,13.0,19.0,43.0,0.04878048780487809,58.0,4,6
2017-04-10,80,61,,,25.0,24.0,0.051,47.0,,,,,12.0,17.0,47.0,0.09302325581395343,70.5,4,0
2017-04-11,71,51,0.5,6.0,32.0,30.0,0.035,32.0,,,10.9,45.0,1.0,1.0,45.0,-0.04255319148936165,61.0,4,1
2017-04-12,58,47,0.4,5.0,31.0,29.0,0.033,31.0,,,5.4,23.0,0.0,0.0,31.0,-0.3111111111111111,52.5,4,2
2017-04-13,56,45,0.4,5.0,31.0,29.0,0.026,24.0,18.0,17.0,6.5,27.0,0.0,0.0,29.0,-0.06451612903225812,50.5,4,3
2017-04-14,66,46,0.5,6.0,40.0,38.0,0.038,35.0,24.0,22.0,6.6,28.0,2.0,3.0,38.0,0.31034482758620685,56.0,4,4
2017-04-15,83,54,0.5,6.0,24.0,23.0,0.053,49.0,33.0,31.0,13.2,53.0,5.0,7.0,53.0,0.39473684210526305,68.5,4,5
2017-04-16,80,62,0.2,2.0,10.0,9.0,0.047,44.0,17.0,16.0,7.7,32.0,1.0,1.0,44.0,-0.16981132075471694,71.0,4,6
2017-04-17,66,49,0.3,3.0,31.0,29.0,0.038,35.0,13.0,12.0,4.1,17.0,1.0,1.0,35.0,-0.20454545454545459,57.5,4,0
2017-04-18,72,46,0.4,5.0,30.0,28.0,0.046,43.0,24.0,22.0,5.8,24.0,1.0,1.0,43.0,0.22857142857142865,59.0,4,1
2017-04-19,78,56,0.3,3.0,25.0,24.0,0.033,31.0,27.0,25.0,9.3,39.0,10.0,14.0,39.0,-0.09302325581395354,67.0,4,2
2017-04-20,82,54,0.4,5.0,29.0,27.0,0.031,29.0,22.0,20.0,16.0,59.0,1.0,1.0,59.0,0.5128205128205128,68.0,4,3
2017-04-21,66,47,0.4,5.0,8.0,8.0,0.031,29.0,6.0,6.0,6.2,26.0,0.0,0.0,29.0,-0.5084745762711864,56.5,4,4
2017-04-22,52,42,0.2,2.0,13.0,12.0,0.033,31.0,5.0,5.0,3.1,13.0,1.0,1.0,31.0,0.06896551724137923,47.0,4,5
2017-04-23,64,36,0.4,5.0,39.0,37.0,0.041,38.0,14.0,13.0,7.5,31.0,1.0,1.0,38.0,0.22580645161290325,50.0,4,6
2017-04-24,75,42,0.6,7.0,44.0,42.0,0.049,45.0,30.0,28.0,8.2,34.0,10.0,14.0,45.0,0.18421052631578938,58.5,4,0
2017-04-25,77,57,0.2,2.0,15.0,14.0,0.039,36.0,19.0,18.0,4.9,20.0,1.0,1.0,36.0,-0.19999999999999996,67.0,4,1
2017-04-26,82,56,0.4,5.0,33.0,31.0,0.041,38.0,63.0,55.0,11.0,46.0,9.0,13.0,55.0,0.5277777777777777,69.0,4,2
2017-04-27,81,50,,,31.0,29.0,0.043,40.0,57.0,52.0,12.3,51.0,6.0,9.0,52.0,-0.054545454545454564,65.5,4,3
2017-04-28,64,47,0.4,5.0,23.0,22.0,0.032,30.0,22.0,20.0,9.7,40.0,1.0,1.0,40.0,-0.23076923076923073,55.5,4,4
2017-04-29,58,47,0.4,5.0,11.0,10.0,0.033,31.0,8.0,7.0,7.6,32.0,0.0,0.0,32.0,-0.19999999999999996,52.5,4,5
2017-04-30,86,49,0.3,3.0,13.0,12.0,0.03,28.0,17.0,16.0,8.2,34.0,2.0,3.0,34.0,0.0625,67.5,4,6
2017-05-01,76,53,0.3,3.0,17.0,16.0,0.042,39.0,21.0,19.0,7.7,32.0,4.0,6.0,39.0,0.1470588235294117,64.5,5,0
2017-05-02,54,45,,,6.0,6.0,0.041,38.0,6.0,6.0,1.8,8.0,1.0,1.0,38.0,-0.02564102564102566,49.5,5,1
2017-05-03,57,44,0.2,2.0,12.0,11.0,0.037,34.0,8.0,7.0,3.2,13.0,1.0,1.0,34.0,-0.10526315789473684,50.5,5,2
2017-05-04,56,48,0.3,3.0,22.0,21.0,0.022,20.0,12.0,11.0,5.9,25.0,1.0,1.0,25.0,-0.2647058823529411,52.0,5,3
2017-05-05,53,45,0.3,3.0,12.0,11.0,0.037,34.0,3.0,3.0,2.1,9.0,0.0,0.0,34.0,0.3600000000000001,49.0,5,4
2017-05-06,52,45,0.2,2.0,4.0,4.0,0.034,31.0,4.0,4.0,2.5,10.0,0.0,0.0,31.0,-0.08823529411764708,48.5,5,5
2017-05-07,56,40,0.2,2.0,13.0,12.0,0.039,36.0,6.0,6.0,1.5,6.0,1.0,1.0,36.0,0.16129032258064524,48.0,5,6
2017-05-08,55,36,0.2,2.0,35.0,33.0,0.041,38.0,25.0,23.0,2.1,9.0,,,38.0,0.05555555555555558,45.5,5,0
2017-05-09,62,36,0.5,6.0,48.0,45.0,0.043,40.0,54.0,50.0,12.6,52.0,10.0,14.0,52.0,0.368421052631579,49.0,5,1
2017-05-10,64,48,0.4,5.0,34.0,32.0,0.037,34.0,23.0,21.0,5.0,21.0,1.0,1.0,34.0,-0.34615384615384615,56.0,5,2
2017-05-11,58,51,0.3,3.0,19.0,18.0,0.031,29.0,12.0,11.0,4.9,20.0,0.0,0.0,29.0,-0.1470588235294118,54.5,5,3
2017-05-12,59,48,0.4,5.0,29.0,27.0,0.03,28.0,15.0,14.0,10.7,45.0,0.0,0.0,45.0,0.5517241379310345,53.5,5,4
2017-05-13,70,42,0.3,3.0,23.0,22.0,0.047,44.0,19.0,18.0,10.4,43.0,0.0,0.0,44.0,-0.022222222222222254,56.0,5,5
2017-05-14,64,50,0.3,3.0,15.0,14.0,0.038,35.0,14.0,13.0,13.4,54.0,2.0,3.0,54.0,0.2272727272727273,57.0,5,6
2017-05-15,68,40,0.4,5.0,38.0,36.0,0.029,27.0,21.0,19.0,4.0,17.0,3.0,4.0,36.0,-0.33333333333333337,54.0,5,0
2017-05-16,87,49,0.4,5.0,26.0,25.0,0.061,71.0,57.0,52.0,11.0,46.0,3.0,4.0,71.0,0.9722222222222223,68.0,5,1
2017-05-17,90,70,0.4,5.0,41.0,39.0,0.05,46.0,64.0,55.0,15.1,57.0,5.0,7.0,57.0,-0.19718309859154926,80.0,5,2
2017-05-18,89,71,0.2,2.0,11.0,10.0,0.048,44.0,44.0,41.0,25.5,79.0,0.0,0.0,79.0,0.38596491228070184,80.0,5,3
2017-05-19,72,52,0.2,2.0,11.0,10.0,0.025,23.0,11.0,10.0,5.6,23.0,0.0,0.0,23.0,-0.7088607594936709,62.0,5,4
2017-05-20,73,54,0.3,3.0,11.0,10.0,0.031,29.0,15.0,14.0,7.0,29.0,0.0,0.0,29.0,0.26086956521739135,63.5,5,5
2017-05-21,76,65,0.5,6.0,11.0,10.0,0.031,29.0,20.0,19.0,11.2,47.0,1.0,1.0,47.0,0.6206896551724137,70.5,5,6
2017-05-22,71,54,0.2,2.0,21.0,20.0,0.045,42.0,14.0,13.0,4.8,20.0,14.0,20.0,42.0,-0.1063829787234043,62.5,5,0
2017-05-23,77,52,0.4,5.0,39.0,37.0,0.047,44.0,35.0,32.0,11.3,47.0,10.0,14.0,47.0,0.11904761904761907,64.5,5,1
2017-05-24,68,61,0.4,5.0,32.0,30.0,0.033,31.0,18.0,17.0,9.0,38.0,3.0,4.0,38.0,-0.19148936170212771,64.5,5,2
