"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/21/2017","AQS","390350034","1","10.6","ug/m3 LC","44","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/24/2017","AQS","390350034","1","5.6","ug/m3 LC","23","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/27/2017","AQS","390350034","1","10.9","ug/m3 LC","45","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/30/2017","AQS","390350034","1","6.4","ug/m3 LC","27","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/02/2017","AQS","390350034","1","14.7","ug/m3 LC","56","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/05/2017","AQS","390350034","1","4.6","ug/m3 LC","19","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/08/2017","AQS","390350034","1","6.7","ug/m3 LC","28","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/11/2017","AQS","390350034","1","12.8","ug/m3 LC","52","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/14/2017","AQS","390350034","1","8.4","ug/m3 LC","35","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/17/2017","AQS","390350034","1","10.8","ug/m3 LC","45","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/20/2017","AQS","390350034","1","11.2","ug/m3 LC","47","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/23/2017","AQS","390350034","1","4.4","ug/m3 LC","18","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/26/2017","AQS","390350034","1","6.4","ug/m3 LC","27","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"08/29/2017","AQS","390350034","1","9.3","ug/m3 LC","39","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/01/2017","AQS","390350034","1","2.2","ug/m3 LC","9","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/04/2017","AQS","390350034","1","12.4","ug/m3 LC","52","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/07/2017","AQS","390350034","1","3.1","ug/m3 LC","13","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/10/2017","AQS","390350034","1","2.1","ug/m3 LC","9","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/13/2017","AQS","390350034","1","6.2","ug/m3 LC","26","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/16/2017","AQS","390350034","1","11","ug/m3 LC","46","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/19/2017","AQS","390350034","1","15.7","ug/m3 LC","59","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/22/2017","AQS","390350034","1","10.9","ug/m3 LC","45","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/25/2017","AQS","390350034","1","12.9","ug/m3 LC","53","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"09/28/2017","AQS","390350034","1","2.3","ug/m3 LC","10","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/01/2017","AQS","390350034","1","3.7","ug/m3 LC","15","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/04/2017","AQS","390350034","1","6.9","ug/m3 LC","29","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/07/2017","AQS","390350034","1","8","ug/m3 LC","33","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/10/2017","AQS","390350034","1","11.4","ug/m3 LC","48","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/13/2017","AQS","390350034","1","5.1","ug/m3 LC","21","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/16/2017","AQS","390350034","1","2.2","ug/m3 LC","9","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/19/2017","AQS","390350034","1","8.1","ug/m3 LC","34","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/22/2017","AQS","390350034","1","10.9","ug/m3 LC","45","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/25/2017","AQS","390350034","1","3.2","ug/m3 LC","13","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/28/2017","AQS","390350034","1","3.8","ug/m3 LC","16","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"10/31/2017","AQS","390350034","1","3.9","ug/m3 LC","16","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/03/2017","AQS","390350034","1","3.1","ug/m3 LC","13","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/06/2017","AQS","390350034","1","2.5","ug/m3 LC","10","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/09/2017","AQS","390350034","1","8.7","ug/m3 LC","36","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/12/2017","AQS","390350034","1","10.5","ug/m3 LC","44","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/15/2017","AQS","390350034","1","10","ug/m3 LC","42","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/18/2017","AQS","390350034","1","4.8","ug/m3 LC","20","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/21/2017","AQS","390350034","1","4.7","ug/m3 LC","20","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/24/2017","AQS","390350034","1","7.3","ug/m3 LC","30","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/27/2017","AQS","390350034","1","11.3","ug/m3 LC","47","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"11/30/2017","AQS","390350034","1","9.2","ug/m3 LC","38","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/03/2017","AQS","390350034","1","24","ug/m3 LC","76","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/06/2017","AQS","390350034","1","4","ug/m3 LC","17","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/09/2017","AQS","390350034","1","10.2","ug/m3 LC","43","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/12/2017","AQS","390350034","1","3.8","ug/m3 LC","16","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/15/2017","AQS","390350034","1","9.6","ug/m3 LC","40","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/18/2017","AQS","390350034","1","12.7","ug/m3 LC","52","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/21/2017","AQS","390350034","1","4.5","ug/m3 LC","19","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/24/2017","AQS","390350034","1","11.5","ug/m3 LC","48","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/27/2017","AQS","390350034","1","9.8","ug/m3 LC","41","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"12/30/2017","AQS","390350034","1","12.5","ug/m3 LC","52","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/01/2017","AQS","390350038","1","12.4","ug/m3 LC","52","St Theodosius","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"01/04/2017","AQS","390350038","1","6.6","ug/m3 LC","28","St Theodosius","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"01/07/2017","AQS","390350038","1","18","ug/m3 LC","63","St Theodosius","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
