"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/04/2017","AQS","390350038","1","0.008","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/10/2017","AQS","390350038","1","0.008","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/16/2017","AQS","390350038","1","0.026","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/22/2017","AQS","390350038","1","0.034","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/28/2017","AQS","390350038","1","0.007","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/04/2017","AQS","390350038","1","0.017","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/10/2017","AQS","390350038","1","0.02","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/16/2017","AQS","390350038","1","0.012","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/22/2017","AQS","390350038","1","0.014","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/28/2017","AQS","390350038","1","0.004","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/03/2017","AQS","390350038","1","0.002","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/09/2017","AQS","390350038","1","0.026","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/15/2017","AQS","390350038","1","0.029","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/21/2017","AQS","390350038","1","0.005","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/27/2017","AQS","390350038","1","0.011","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/03/2017","AQS","390350038","1","0.013","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/09/2017","AQS","390350038","1","0.01","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/15/2017","AQS","390350038","1","0.007","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/21/2017","AQS","390350038","1","0.008","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/27/2017","AQS","390350038","1","0.002","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"01/01/2017","AQS","390350042","1","0.006","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"01/07/2017","AQS","390350042","1","0.007","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"01/13/2017","AQS","390350042","1","0.005","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"01/19/2017","AQS","390350042","1","0.011","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"01/25/2017","AQS","390350042","1","0.005","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"01/31/2017","AQS","390350042","1","0.004","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
